sigma,psi,phi2,hopf_rF
2,0,0.5,0.03835791789062448
2,0,0.55,0.03876649802611985
2,0,0.6,0.03917218385961145
2,0,0.65,0.039636070631493985
2,0,0.7,0.0400336186383753
2,0,0.75,0.040378108232881446
2,0,0.8,0.04067949679566498
2,0,0.8500000000000001,0.04094539686075567
2,0,0.9,0.0411817279585007
2,0.02,0.5,0.03902137031608604
2,0.02,0.55,0.03960698650996279
2,0.02,0.6,0.04009487715765048
2,0.02,0.65,0.04050761972748054
2,0.02,0.7,0.04086133441838008
2,0.02,0.75,0.04116783857431078
2,0.02,0.8,0.041435992509602976
2,0.02,0.8500000000000001,0.04167256995275734
2,0.02,0.9,0.04188283811753458
2,0.04,0.5,0.03996911533414732
2,0.04,0.55,0.040493721113139564
2,0.04,0.6,0.0409307766041666
2,0.04,0.65,0.0413005097220497
2,0.04,0.7,0.041617362778750534
2,0.04,0.75,0.04189192289817855
2,0.04,0.8,0.042216824539965725
2,0.04,0.8500000000000001,0.04256459199122683
2,0.04,0.9,0.04287368868130481
2,0.06,0.5,0.040833220154201266
2,0.06,0.55,0.04130627919099286
2,0.06,0.6,0.04170038436682109
2,0.06,0.65,0.04205359304185613
2,0.06,0.7,0.04250690359673715
2,0.06,0.75,0.042899714803263676
2,0.06,0.8,0.04324338023524229
2,0.06,0.8500000000000001,0.04354657988348026
2,0.06,0.9,0.04381606337097281
2,0.08,0.5,0.04163351276526026
2,0.08,0.55,0.04209655205043169
2,0.08,0.6,0.042646164747407
2,0.08,0.65,0.04311112466060479
2,0.08,0.7,0.04350959045545523
2,0.08,0.75,0.04385487392825904
2,0.08,0.8,0.04415695595697412
2,0.08,0.8500000000000001,0.04442346698688493
2,0.08,0.9,0.04466034043994657
2,0.1,0.5,0.04257600508876971
2,0.1,0.55,0.043160523165834026
2,0.1,0.6,0.04364749480581698
2,0.1,0.65,0.044059456954375575
2,0.1,0.7,0.0444125006561888
2,0.1,0.75,0.04471842174354239
2,0.1,0.8,0.04498606431113683
2,0.1,0.8500000000000001,0.04535535687954241
2,0.1,0.9,0.045691008644377966
2,0.12,0.5,0.04360157409984241
2,0.12,0.55,0.04412348069067283
2,0.12,0.6,0.044558282722241535
2,0.12,0.65,0.044926106106060855
2,0.12,0.7,0.0453730160983861
2,0.12,0.75,0.04579522398330215
2,0.12,0.8,0.04616460832084394
2,0.12,0.8500000000000001,0.046490498638324655
2,0.12,0.9,0.046780149647407405
2,0.14,0.5,0.044541709997429645
2,0.14,0.55,0.04501676945069188
2,0.14,0.6,0.045602191670710585
2,0.14,0.65,0.04609744556176028
2,0.14,0.7,0.04652187292896808
2,0.14,0.75,0.046889652904173476
2,0.14,0.8,0.047211416671416276
2,0.14,0.8500000000000001,0.047495291837742565
2,0.14,0.9,0.04774759841632017
2,0.16,0.5,0.04560870547425362
2,0.16,0.55,0.046226406396074886
2,0.16,0.6,0.04674102256471547
2,0.16,0.65,0.047176370621651476
2,0.16,0.7,0.04754945526086303
2,0.16,0.75,0.04787274206009152
2,0.16,0.8,0.048240107784303245
2,0.16,0.8500000000000001,0.04862521928404331
2,0.16,0.9,0.048967507237880216
2,0.18,0.5,0.04676789683707202
2,0.18,0.55,0.04731568690247114
2,0.18,0.6,0.047772051318493394
2,0.18,0.65,0.04823593939329054
2,0.18,0.7,0.048729637000088845
2,0.18,0.75,0.04915744422386345
2,0.18,0.8,0.049531726503721424
2,0.18,0.8500000000000001,0.049861937383203686
2,0.18,0.9,0.05015542798162303
2,0.2,0.5,0.04782750679031957
2,0.2,0.55,0.04845891832679645
2,0.2,0.6,0.04904900031107101
2,0.2,0.65,0.04954819381700104
2,0.2,0.7,0.049975995599843545
2,0.2,0.75,0.05034669826793761
2,0.2,0.8,0.050671018012679606
2,0.2,0.8500000000000001,0.050957147379701195
2,0.2,0.9,0.05132351188422492
2,0.22,0.5,0.049145407647263877
2,0.22,0.55,0.04976544094415426
2,0.22,0.6,0.05028199619588471
2,0.22,0.65,0.05071898174887122
2,0.22,0.7,0.05113812108435244
2,0.22,0.75,0.05161765451046445
2,0.22,0.8,0.05203719242034738
2,0.22,0.8500000000000001,0.05240733100221296
2,0.22,0.9,0.052736309938967274
2,0.24,0.5,0.05039843025848926
2,0.24,0.55,0.05094656857549072
2,0.24,0.6,0.0515767888898179
2,0.24,0.65,0.05212939696547816
2,0.24,0.7,0.05260297594704376
2,0.24,0.75,0.05301334713955806
2,0.24,0.8,0.05337237297719208
2,0.24,0.8500000000000001,0.053689122356588084
2,0.24,0.9,0.05397064722997518
2,0.26,0.5,0.0517643029909018
2,0.26,0.55,0.05244311885940264
2,0.26,0.6,0.05300864899273506
2,0.26,0.65,0.05348706724212862
2,0.26,0.7,0.05389706121258016
2,0.26,0.75,0.05436699022860721
2,0.26,0.8,0.05481904816638718
2,0.26,0.8500000000000001,0.05521787796282126
2,0.26,0.9,0.05557235788753183
2,0.28,0.5,0.053205582826023154
2,0.28,0.55,0.053799874726408965
2,0.28,0.6,0.05441514431945701
2,0.28,0.65,0.05500461425389431
2,0.28,0.7,0.055509783830127425
2,0.28,0.75,0.05594752956775323
2,0.28,0.8,0.05633050509174496
2,0.28,0.8500000000000001,0.056668384179422805
2,0.28,0.9,0.05696868914428917
2,0.3,0.5,0.05470739170817097
2,0.3,0.55,0.05542523487707596
2,0.3,0.6,0.0560232792545193
2,0.3,0.65,0.05652920346488795
2,0.3,0.7,0.05696276949658955
2,0.3,0.75,0.05748184694395824
2,0.3,0.8,0.057949779690300414
2,0.3,0.8500000000000001,0.058362614819323255
2,0.3,0.9,0.058729542465346125
2,0.32,0.5,0.05631532667428018
2,0.32,0.55,0.05693918721643347
2,0.32,0.6,0.057632315805830614
2,0.32,0.65,0.058238122199977316
2,0.32,0.7,0.058757290974094024
2,0.32,0.75,0.05920716673406967
2,0.32,0.8,0.05960075402445883
2,0.32,0.8500000000000001,0.05994799487554973
2,0.32,0.9,0.06036848969815178
2,0.34,0.5,0.0580346970628803
2,0.34,0.55,0.05876816286479142
2,0.34,0.6,0.059379220070482935
2,0.34,0.65,0.05989615081599336
2,0.34,0.7,0.060470442329115706
2,0.34,0.75,0.06100292357211428
2,0.34,0.8,0.061468783772145645
2,0.34,0.8500000000000001,0.06187978947315694
2,0.34,0.9,0.0622450903993961
2,0.36,0.5,0.05977659212240624
2,0.36,0.55,0.060552334996734264
2,0.36,0.6,0.061262531243123114
2,0.36,0.65,0.061863336533320566
2,0.36,0.7,0.06237821696405929
2,0.36,0.75,0.06282437489589617
2,0.36,0.8,0.0632990085739256
2,0.36,0.8500000000000001,0.06377859118713756
2,0.36,0.9,0.0642048447498719
2,0.38,0.5,0.06177583878607103
2,0.38,0.55,0.06250139402599769
2,0.38,0.6,0.06314255990543827
2,0.38,0.65,0.0638312231194257
2,0.38,0.7,0.06442140064666907
2,0.38,0.75,0.06493280877710685
2,0.38,0.8,0.06538023034442704
2,0.38,0.8500000000000001,0.0657749669293273
2,0.38,0.9,0.06617540621579927
2,0.4,0.5,0.0638066552812894
2,0.4,0.55,0.06462522655738724
2,0.4,0.6,0.0653071872241909
2,0.4,0.65,0.06588410048170436
2,0.4,0.7,0.06650970590788231
2,0.4,0.75,0.06708662822977253
2,0.4,0.8,0.06759136900453738
2,0.4,0.8500000000000001,0.06803667691368129
2,0.4,0.9,0.06843246538699922
